dataset,d,n_train,test_size,seed,accuracy,brier,balanced,quantum_label
MNIST,0,1,0.1,0,0.625,0.27756084501743317,False,ibmq_qasm_simulator
MNIST,1,2,0.1,0,0.275,0.2975160088390112,True,ibmq_qasm_simulator
MNIST,2,4,0.1,0,0.25,0.3008708268404007,True,ibmq_qasm_simulator
MNIST,3,8,0.1,0,0.725,0.23243197612464428,True,ibmq_qasm_simulator
MNIST,0,1,0.1,1,0.375,0.40452205911278727,False,ibmq_qasm_simulator
MNIST,1,2,0.1,1,0.95,0.19563026465475558,True,ibmq_qasm_simulator
MNIST,2,4,0.1,1,0.95,0.1957559160888195,True,ibmq_qasm_simulator
MNIST,3,8,0.1,1,0.925,0.1813561897724867,True,ibmq_qasm_simulator
MNIST,0,1,0.1,2,0.675,0.22581074945628643,False,ibmq_qasm_simulator
MNIST,1,2,0.1,2,0.825,0.2185370158404112,True,ibmq_qasm_simulator
MNIST,2,4,0.1,2,0.75,0.21972197964787482,True,ibmq_qasm_simulator
MNIST,3,8,0.1,2,0.775,0.20230301208794116,True,ibmq_qasm_simulator
MNIST,0,1,0.1,3,0.45,0.3640575595200062,False,ibmq_qasm_simulator
MNIST,1,2,0.1,3,0.7,0.195247645303607,True,ibmq_qasm_simulator
MNIST,2,4,0.1,3,0.725,0.1867913670837879,True,ibmq_qasm_simulator
MNIST,3,8,0.1,3,0.75,0.19134588167071342,True,ibmq_qasm_simulator
MNIST,0,1,0.1,4,0.6,0.2927710942924023,False,ibmq_qasm_simulator
MNIST,1,2,0.1,4,0.8,0.20563409551978112,True,ibmq_qasm_simulator
MNIST,2,4,0.1,4,0.775,0.20510090440511702,True,ibmq_qasm_simulator
MNIST,3,8,0.1,4,0.775,0.208784831315279,True,ibmq_qasm_simulator
MNIST,0,1,0.1,5,0.475,0.31717897318303584,False,ibmq_qasm_simulator
MNIST,1,2,0.1,5,0.8,0.20739230513572693,True,ibmq_qasm_simulator
MNIST,2,4,0.1,5,0.775,0.20564041435718536,True,ibmq_qasm_simulator
MNIST,3,8,0.1,5,0.9,0.17673852741718293,True,ibmq_qasm_simulator
MNIST,0,1,0.1,6,0.45,0.3920826751738787,False,ibmq_qasm_simulator
MNIST,1,2,0.1,6,0.95,0.18710522316396236,True,ibmq_qasm_simulator
MNIST,2,4,0.1,6,0.925,0.18668247126042842,True,ibmq_qasm_simulator
MNIST,3,8,0.1,6,0.9,0.17852251715958117,True,ibmq_qasm_simulator
MNIST,0,1,0.1,7,0.5,0.3372933018952608,False,ibmq_qasm_simulator
MNIST,1,2,0.1,7,0.9,0.17692253030836583,True,ibmq_qasm_simulator
MNIST,2,4,0.1,7,0.9,0.17705427818000316,True,ibmq_qasm_simulator
MNIST,3,8,0.1,7,0.875,0.20732056833803653,True,ibmq_qasm_simulator
MNIST,0,1,0.1,8,0.425,0.3438362065702677,False,ibmq_qasm_simulator
MNIST,1,2,0.1,8,0.85,0.20895140133798124,True,ibmq_qasm_simulator
MNIST,2,4,0.1,8,0.875,0.2090264916419983,True,ibmq_qasm_simulator
MNIST,3,8,0.1,8,0.85,0.21610209234058858,True,ibmq_qasm_simulator
MNIST,0,1,0.1,9,0.425,0.41288384385406973,False,ibmq_qasm_simulator
MNIST,1,2,0.1,9,0.9,0.1920169811695814,True,ibmq_qasm_simulator
MNIST,2,4,0.1,9,0.9,0.19145029075443745,True,ibmq_qasm_simulator
MNIST,3,8,0.1,9,0.9,0.1703752540051937,True,ibmq_qasm_simulator
