dataset,d,n_train,test_size,seed,accuracy,brier,balanced,quantum_label
iris_class1_vs_class2,0,1,0.1,0,0.3,0.643773190677166,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,0,0.7,0.2022715061903,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,0,0.7,0.20168309658765793,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,0,0.7,0.2227398470044136,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,1,0.6,0.27100647389888766,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,1,0.2,0.2538121685385704,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,1,0.5,0.2398675799369812,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,1,0.8,0.22128224074840547,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,2,0.6,0.36159114688634875,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,2,0.2,0.259824101626873,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,2,0.3,0.2566571518778801,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,2,0.3,0.2621013358235359,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,3,0.7,0.29403507709503174,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,3,0.5,0.25021219104528425,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,3,0.6,0.24911342710256576,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,3,0.6,0.24098495095968248,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,4,0.8,0.19512333422899247,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,4,0.5,0.2522298008203506,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,4,0.5,0.25684536844491956,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,4,0.6,0.23145996928215026,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,5,0.4,0.4991927772760391,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,5,0.2,0.2631729006767273,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,5,0.0,0.2677288219332695,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,5,0.4,0.26014343947172164,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,6,0.3,0.6380046427249908,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,6,0.8,0.2458522289991379,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,6,0.6,0.24897029399871826,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,6,0.7,0.2370486557483673,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,7,0.3,0.5844265446066856,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,7,0.5,0.2462418034672737,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,7,0.5,0.2545914128422737,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,7,0.5,0.25077119916677476,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,8,0.5,0.4608638107776642,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,8,0.8,0.21737907379865645,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,8,0.8,0.21089617609977723,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,8,0.8,0.2423977553844452,True,ibmq_qasm_simulator
iris_class1_vs_class2,0,1,0.1,9,0.4,0.49996464401483537,False,ibmq_qasm_simulator
iris_class1_vs_class2,1,2,0.1,9,0.7,0.20742159336805344,True,ibmq_qasm_simulator
iris_class1_vs_class2,2,4,0.1,9,0.7,0.20674035251140593,True,ibmq_qasm_simulator
iris_class1_vs_class2,3,8,0.1,9,0.7,0.24193815141916275,True,ibmq_qasm_simulator
