,dataset,d,n_train,test_size,seed,accuracy,brier,balanced,device
0,MNIST,0,1,0.1,0,0.625,0.27756084501743317,False,ibmq_qasm_simulator
1,MNIST,1,2,0.1,0,0.275,0.2975160088390112,True,ibmq_qasm_simulator
2,MNIST,2,4,0.1,0,0.25,0.3008708268404007,True,ibmq_qasm_simulator
3,MNIST,3,8,0.1,0,0.725,0.23243197612464428,True,ibmq_qasm_simulator
4,MNIST,0,1,0.1,1,0.375,0.40452205911278727,False,ibmq_qasm_simulator
5,MNIST,1,2,0.1,1,0.95,0.19563026465475558,True,ibmq_qasm_simulator
6,MNIST,2,4,0.1,1,0.95,0.1957559160888195,True,ibmq_qasm_simulator
7,MNIST,3,8,0.1,1,0.925,0.1813561897724867,True,ibmq_qasm_simulator
8,MNIST,0,1,0.1,2,0.675,0.22581074945628643,False,ibmq_qasm_simulator
9,MNIST,1,2,0.1,2,0.825,0.2185370158404112,True,ibmq_qasm_simulator
10,MNIST,2,4,0.1,2,0.75,0.21972197964787482,True,ibmq_qasm_simulator
11,MNIST,3,8,0.1,2,0.775,0.20230301208794116,True,ibmq_qasm_simulator
12,MNIST,0,1,0.1,3,0.45,0.3640575595200062,False,ibmq_qasm_simulator
13,MNIST,1,2,0.1,3,0.7,0.195247645303607,True,ibmq_qasm_simulator
14,MNIST,2,4,0.1,3,0.725,0.1867913670837879,True,ibmq_qasm_simulator
15,MNIST,3,8,0.1,3,0.75,0.19134588167071342,True,ibmq_qasm_simulator
16,MNIST,0,1,0.1,4,0.6,0.2927710942924023,False,ibmq_qasm_simulator
17,MNIST,1,2,0.1,4,0.8,0.20563409551978112,True,ibmq_qasm_simulator
18,MNIST,2,4,0.1,4,0.775,0.20510090440511702,True,ibmq_qasm_simulator
19,MNIST,3,8,0.1,4,0.775,0.208784831315279,True,ibmq_qasm_simulator
20,MNIST,0,1,0.1,5,0.475,0.31717897318303584,False,ibmq_qasm_simulator
21,MNIST,1,2,0.1,5,0.8,0.20739230513572693,True,ibmq_qasm_simulator
22,MNIST,2,4,0.1,5,0.775,0.20564041435718536,True,ibmq_qasm_simulator
23,MNIST,3,8,0.1,5,0.9,0.17673852741718293,True,ibmq_qasm_simulator
24,MNIST,0,1,0.1,6,0.45,0.3920826751738787,False,ibmq_qasm_simulator
25,MNIST,1,2,0.1,6,0.95,0.18710522316396236,True,ibmq_qasm_simulator
26,MNIST,2,4,0.1,6,0.925,0.18668247126042842,True,ibmq_qasm_simulator
27,MNIST,3,8,0.1,6,0.9,0.17852251715958117,True,ibmq_qasm_simulator
28,MNIST,0,1,0.1,7,0.5,0.3372933018952608,False,ibmq_qasm_simulator
29,MNIST,1,2,0.1,7,0.9,0.17692253030836583,True,ibmq_qasm_simulator
30,MNIST,2,4,0.1,7,0.9,0.17705427818000316,True,ibmq_qasm_simulator
31,MNIST,3,8,0.1,7,0.875,0.20732056833803653,True,ibmq_qasm_simulator
32,MNIST,0,1,0.1,8,0.425,0.3438362065702677,False,ibmq_qasm_simulator
33,MNIST,1,2,0.1,8,0.85,0.20895140133798124,True,ibmq_qasm_simulator
34,MNIST,2,4,0.1,8,0.875,0.2090264916419983,True,ibmq_qasm_simulator
35,MNIST,3,8,0.1,8,0.85,0.21610209234058858,True,ibmq_qasm_simulator
36,MNIST,0,1,0.1,9,0.425,0.41288384385406973,False,ibmq_qasm_simulator
37,MNIST,1,2,0.1,9,0.9,0.1920169811695814,True,ibmq_qasm_simulator
38,MNIST,2,4,0.1,9,0.9,0.19145029075443745,True,ibmq_qasm_simulator
39,MNIST,3,8,0.1,9,0.9,0.1703752540051937,True,ibmq_qasm_simulator
40,iris_class0_vs_class1,0,1,0.1,0,0.3,0.37867413759231566,False,ibmq_qasm_simulator
41,iris_class0_vs_class1,1,2,0.1,0,1.0,0.13194158375263215,True,ibmq_qasm_simulator
42,iris_class0_vs_class1,2,4,0.1,0,1.0,0.1326974406838417,True,ibmq_qasm_simulator
43,iris_class0_vs_class1,3,8,0.1,0,1.0,0.1363607943058014,True,ibmq_qasm_simulator
44,iris_class0_vs_class1,0,1,0.1,1,0.6,0.22397042512893678,False,ibmq_qasm_simulator
45,iris_class0_vs_class1,1,2,0.1,1,1.0,0.13320684432983398,True,ibmq_qasm_simulator
46,iris_class0_vs_class1,2,4,0.1,1,1.0,0.13158513754606246,True,ibmq_qasm_simulator
47,iris_class0_vs_class1,3,8,0.1,1,1.0,0.13280411511659623,True,ibmq_qasm_simulator
48,iris_class0_vs_class1,0,1,0.1,2,0.6,0.21360841691493987,False,ibmq_qasm_simulator
49,iris_class0_vs_class1,1,2,0.1,2,1.0,0.14907818883657456,True,ibmq_qasm_simulator
50,iris_class0_vs_class1,2,4,0.1,2,1.0,0.14924067705869676,True,ibmq_qasm_simulator
51,iris_class0_vs_class1,3,8,0.1,2,1.0,0.13356481045484542,True,ibmq_qasm_simulator
52,iris_class0_vs_class1,0,1,0.1,3,0.7,0.16358697414398193,False,ibmq_qasm_simulator
53,iris_class0_vs_class1,1,2,0.1,3,1.0,0.12510787844657897,True,ibmq_qasm_simulator
54,iris_class0_vs_class1,2,4,0.1,3,1.0,0.1335834503173828,True,ibmq_qasm_simulator
